Frequencia (Hz),Amplitude (dB)
1971.25,145.48
2000.37,145.47
552.78,145.45
1978.45,145.44
917.5,145.44
2006.31,145.43
1987.71,145.41
1943.98,145.39
1959.95,145.38
7985.11,145.37
137.71,145.36
600.3,145.33
551.42,145.32
2002.22,145.31
2004.55,145.28
314.27,145.28
1975.24,145.28
1977.67,145.26
257.4,145.25
2006.11,145.25
2006.4,145.24
1959.85,145.22
1969.49,145.21
1975.63,145.21
1974.56,145.2
2007.18,145.19
1999.88,145.18
1961.8,145.17
242.4,145.16
1971.73,145.14
211.82,145.14
5988.05,145.13
237.04,145.05
1979.82,145.05
1986.34,145.03
599.62,145.01
552.39,144.94
2008.84,144.93
735.68,144.92
1942.03,144.9
377.67,144.89
2005.24,144.87
359.66,144.83
826.25,144.83
735.77,144.82
377.09,144.79
1957.52,144.78
753.98,144.78
1980.5,144.78
377.77,144.76
238.41,144.74
2006.5,144.74
1975.14,144.7
250.48,144.69
2002.12,144.65
2002.61,144.62
211.72,144.59
1005.73,144.59
2007.96,144.58
1959.27,144.56
917.31,144.52
1965.89,144.52
733.14,144.51
1944.08,144.49
736.36,144.48
1285.53,144.48
1951.96,144.46
1969.3,144.45
1976.99,144.44
378.06,144.43
1965.6,144.43
1953.91,144.42
242.6,144.41
7984.03,144.41
1988.39,144.41
1969.79,144.4
736.06,144.39
1948.07,144.39
848.74,144.38
2003.29,144.34
1285.44,144.34
1987.51,144.34
1984.2,144.27
236.85,144.25
258.08,144.25
1971.05,144.22
1961.41,144.19
376.8,144.19
1945.93,144.18
1975.82,144.17
735.48,144.16
1950.02,144.15
377.58,144.15
184.36,144.13
1976.9,144.1
376.89,144.07
237.43,144.07
826.05,144.06
2004.16,144.06
376.99,144.03
370.47,144.03
257.98,144.0
555.41,144.0
1972.61,143.99
2004.07,143.97
1961.61,143.96
944.87,143.96
735.38,143.96
7983.55,143.95
1942.13,143.94
260.22,143.89
1967.35,143.89
1963.65,143.88
553.07,143.86
120.18,143.86
1965.21,143.83
1957.91,143.83
1986.83,143.82
1957.32,143.82
238.51,143.82
1959.46,143.8
236.27,143.73
1284.95,143.73
370.37,143.73
1974.95,143.71
1963.75,143.65
735.97,143.64
968.24,143.63
1973.68,143.62
1967.16,143.62
918.18,143.61
839.98,143.61
963.86,143.6
243.37,143.6
1988.87,143.58
946.62,143.56
2004.36,143.56
1969.69,143.54
184.55,143.53
946.04,143.53
236.65,143.52
1958.0,143.52
1009.92,143.52
184.26,143.51
551.71,143.45
249.22,143.45
1981.96,143.45
1978.75,143.43
561.64,143.43
561.93,143.43
5988.15,143.42
372.03,143.41
1935.99,143.41
211.92,143.4
7985.2,143.38
2008.45,143.33
1973.2,143.32
2008.94,143.31
5987.08,143.3
285.64,143.28
1963.85,143.27
944.77,143.26
1020.83,143.26
260.9,143.25
1973.0,143.25
1976.41,143.23
843.0,143.22
1005.64,143.2
970.48,143.16
2014.68,143.13
918.08,143.13
1991.5,143.11
720.0,143.1
739.08,143.1
1988.29,143.09
5987.27,143.07
720.09,143.06
1020.15,143.05
2014.59,143.05
1955.96,143.04
1007.58,143.04
1976.21,143.04
1955.67,143.04
1969.1,143.02
1886.91,143.0
965.9,142.99
2003.97,142.98
999.79,142.98
1963.16,142.97
1982.25,142.97
755.93,142.96
194.1,142.95
2008.06,142.95
719.7,142.95
554.34,142.94
1006.32,142.93
556.97,142.92
1977.77,142.91
1019.86,142.91
2008.64,142.9
1984.01,142.89
