Frequencia (Hz),Amplitude (dB)
10359.64,113.18
5247.31,113.18
6322.78,113.18
5949.29,113.18
10156.49,113.18
5301.95,113.18
10734.0,113.18
6141.83,113.18
4123.15,113.18
3566.57,113.18
4042.51,113.18
6848.19,113.18
6451.91,113.18
6968.17,113.18
10296.82,113.18
650.56,113.18
3859.03,113.18
9313.1,113.18
8361.32,113.18
4449.4,113.18
10115.49,113.18
8883.91,113.18
4897.59,113.18
10872.68,113.18
5391.93,113.18
2453.61,113.18
5283.15,113.18
6319.95,113.18
5090.51,113.18
1538.74,113.18
32.24,113.18
394.52,113.18
6482.1,113.18
10439.11,113.17
7256.83,113.17
81.81,113.17
8336.19,113.17
7076.56,113.17
9301.41,113.17
7445.86,113.17
7198.79,113.17
3328.85,113.17
5841.09,113.17
8700.72,113.17
4939.66,113.17
4603.76,113.17
4284.04,113.17
3741.68,113.17
4800.0,113.17
10879.01,113.17
7512.96,113.17
7197.13,113.17
5889.59,113.17
6214.77,113.17
12633.18,113.17
5476.76,113.17
6452.59,113.17
7341.95,113.17
7719.53,113.17
6605.2,113.17
8581.61,113.17
3913.57,113.17
7624.67,113.17
6307.0,113.17
8614.04,113.17
8651.05,113.17
4432.17,113.17
3643.41,113.17
7688.95,113.17
11737.98,113.17
8332.39,113.17
6704.73,113.17
8195.17,113.17
3571.15,113.17
7875.45,113.17
9470.97,113.17
9945.93,113.17
6514.53,113.17
4975.3,113.17
3079.14,113.17
5941.6,113.17
9674.61,113.17
3583.71,113.17
6813.32,113.17
6675.03,113.17
7150.58,113.17
10061.63,113.17
9158.64,113.17
5239.71,113.17
10365.19,113.17
7767.34,113.17
6527.68,113.16
4481.44,113.16
6842.64,113.16
6962.52,113.16
5181.18,113.16
3983.69,113.16
4582.53,113.16
6642.21,113.16
4654.99,113.16
7595.16,113.16
10086.07,113.16
6042.1,113.16
6021.94,113.16
4603.47,113.16
8854.69,113.16
1575.46,113.16
7770.65,113.16
8230.82,113.16
9270.54,113.16
5030.52,113.16
9267.62,113.16
4196.19,113.16
7482.48,113.16
6530.02,113.16
9956.45,113.16
10027.45,113.16
6307.19,113.16
8140.83,113.16
3358.94,113.16
9471.84,113.16
6186.14,113.16
11120.64,113.16
6893.47,113.16
7536.82,113.16
9117.83,113.16
5997.3,113.16
7805.62,113.16
5894.26,113.16
4461.09,113.16
5395.93,113.16
6485.22,113.16
8156.41,113.16
2657.16,113.16
8367.55,113.16
2828.37,113.16
4009.5,113.16
5966.04,113.16
7084.36,113.16
5186.15,113.16
3549.04,113.16
3697.76,113.16
9102.15,113.16
4031.7,113.16
6738.92,113.16
5420.95,113.16
11986.33,113.16
3742.75,113.16
4963.91,113.16
6859.97,113.16
5726.56,113.16
3214.12,113.16
5939.06,113.16
5006.76,113.16
11244.71,113.15
10169.15,113.15
9980.99,113.15
8608.0,113.15
10925.96,113.15
11016.43,113.15
7760.04,113.15
6979.47,113.15
10834.51,113.15
9793.62,113.15
5403.03,113.15
0.97,113.15
3450.78,113.15
4042.71,113.15
6080.28,113.15
6089.92,113.15
5154.21,113.15
10753.48,113.15
9692.53,113.15
4698.33,113.15
6283.24,113.15
9339.39,113.15
10342.6,113.15
6526.12,113.15
3414.74,113.15
9834.52,113.15
7375.45,113.15
3423.8,113.15
4037.94,113.15
8410.11,113.15
4216.55,113.15
8818.27,113.15
6079.21,113.15
4609.8,113.15
4857.07,113.15
6740.77,113.15
8292.56,113.15
2522.37,113.15
10656.87,113.15
7290.33,113.15
3957.01,113.15
10270.82,113.15
3536.09,113.15
4954.56,113.15
3491.49,113.15
6143.38,113.15
4882.49,113.15
3739.83,113.15
5197.15,113.15
6951.13,113.15
3786.48,113.15
9913.5,113.15
2248.12,113.15
6559.82,113.15
6587.19,113.15
6438.67,113.15
7062.25,113.15
10044.39,113.15
3286.87,113.15
8988.4,113.15
9726.81,113.15
11076.03,113.15
1597.57,113.15
1669.83,113.15
3320.86,113.15
8129.73,113.15
3946.68,113.15
10035.92,113.15
7348.57,113.15
3469.28,113.15
2686.96,113.15
5653.62,113.15
2723.58,113.15
3706.52,113.14
4974.82,113.14
3563.94,113.14
6695.87,113.14
5737.96,113.14
6497.78,113.14
4683.72,113.14
5720.62,113.14
5735.62,113.14
5543.47,113.14
8896.37,113.14
8910.49,113.14
9774.53,113.14
3633.29,113.14
5160.34,113.14
10301.6,113.14
5166.96,113.14
7535.27,113.14
3821.93,113.14
4994.98,113.14
10374.25,113.14
9116.86,113.14
10323.51,113.14
6875.85,113.14
6023.11,113.14
5447.35,113.14
5900.3,113.14
8073.14,113.14
2202.94,113.14
6961.84,113.14
4500.34,113.14
9993.26,113.14
9439.51,113.14
9310.96,113.14
9437.37,113.14
8270.36,113.14
4350.55,113.14
2744.22,113.14
9966.68,113.14
8665.56,113.14
9190.29,113.14
2491.89,113.14
9294.69,113.14
9074.98,113.14
6135.98,113.14
10472.71,113.14
3235.65,113.14
5469.45,113.14
3156.86,113.14
9203.34,113.14
4376.85,113.14
5353.56,113.14
7132.08,113.14
5316.26,113.14
9330.53,113.14
7688.07,113.14
7456.19,113.14
5128.98,113.14
2804.9,113.14
446.53,113.14
2897.8,113.14
4567.54,113.14
3251.42,113.14
5046.98,113.14
3145.95,113.14
9010.71,113.14
4539.29,113.14
9964.14,113.13
5419.3,113.13
5932.73,113.13
9390.13,113.13
9342.8,113.13
8063.6,113.13
2991.69,113.13
4097.25,113.13
5057.3,113.13
7992.51,113.13
5061.88,113.13
10684.82,113.13
5472.28,113.13
4039.01,113.13
5295.91,113.13
5584.67,113.13
7995.14,113.13
11581.48,113.13
3118.78,113.13
8934.55,113.13
7349.74,113.13
6638.9,113.13
5255.0,113.13
10028.81,113.13
6507.23,113.13
5541.42,113.13
4895.35,113.13
9940.96,113.13
6630.23,113.13
8019.48,113.13
6326.67,113.13
4805.65,113.13
5172.03,113.13
3871.99,113.13
4590.23,113.13
5802.72,113.13
10954.2,113.13
23.57,113.13
7344.68,113.13
4246.54,113.13
6295.51,113.13
6564.69,113.13
3759.5,113.13
6841.37,113.13
5009.78,113.13
6142.51,113.13
5850.54,113.13
5857.45,113.13
9337.64,113.12
6370.4,113.12
6590.4,113.12
88.92,113.12
7074.62,113.12
4675.15,113.12
4826.69,113.12
5339.44,113.12
5666.76,113.12
7760.62,113.12
8427.83,113.12
4693.07,113.12
2891.38,113.12
9218.63,113.12
10914.37,113.12
5234.65,113.12
4792.31,113.12
7413.34,113.12
8445.17,113.12
4605.03,113.12
6575.3,113.12
5654.4,113.12
8578.11,113.12
7590.88,113.12
7532.34,113.12
5324.83,113.12
3655.29,113.12
6383.94,113.12
6697.43,113.12
3531.71,113.12
5718.57,113.12
3337.32,113.12
8681.82,113.12
5823.85,113.12
9835.3,113.12
4938.2,113.12
4145.16,113.12
7860.25,113.12
7856.06,113.12
3468.99,113.12
4272.55,113.12
11226.98,113.12
4653.14,113.12
8160.02,113.12
7715.24,113.12
5745.75,113.12
3169.62,113.12
9518.98,113.12
8766.94,113.12
9808.03,113.12
5130.44,113.12
5575.71,113.12
4222.49,113.12
5246.43,113.12
7593.31,113.12
8181.83,113.12
5129.37,113.12
3883.87,113.11
5757.24,113.11
10058.42,113.11
7569.55,113.11
3997.91,113.11
3420.39,113.11
10314.74,113.11
3903.34,113.11
11998.69,113.11
11972.2,113.11
9262.85,113.11
9661.65,113.11
5367.59,113.11
8379.34,113.11
8813.4,113.11
4720.34,113.11
9665.16,113.11
5637.35,113.11
7592.34,113.11
6353.36,113.11
6794.72,113.11
4231.54,113.11
8544.51,113.11
7023.88,113.11
4563.74,113.11
5703.58,113.11
6785.96,113.11
7925.5,113.11
9309.98,113.11
3197.47,113.11
9292.06,113.11
2795.16,113.11
5725.2,113.11
5117.2,113.11
5114.28,113.11
10309.19,113.11
5411.7,113.11
5955.81,113.11
7792.76,113.11
9564.07,113.11
5708.25,113.11
5050.68,113.11
5050.78,113.11
5921.34,113.11
13052.73,113.11
10120.06,113.11
8264.71,113.11
4044.95,113.11
4016.32,113.11
8084.54,113.11
9614.32,113.11
6275.15,113.11
8441.76,113.11
9419.64,113.11
4797.57,113.11
5298.44,113.11
7577.63,113.11
6397.37,113.11
3718.4,113.11
10291.47,113.11
3907.24,113.11
9372.41,113.11
3691.62,113.11
5281.69,113.11
5007.93,113.11
8508.38,113.1
10308.71,113.1
3938.6,113.1
4944.82,113.1
10439.6,113.1
9886.52,113.1
5506.56,113.1
10309.48,113.1
6632.47,113.1
5369.14,113.1
6662.76,113.1
5536.17,113.1
6516.29,113.1
8163.81,113.1
8041.49,113.1
7445.67,113.1
10302.76,113.1
7521.83,113.1
5194.53,113.1
7660.9,113.1
7863.08,113.1
5882.58,113.1
6022.04,113.1
9490.05,113.1
9199.25,113.1
7231.8,113.1
3682.37,113.1
7951.6,113.1
3442.89,113.1
7056.79,113.1
7130.62,113.1
3453.6,113.1
8245.62,113.1
7241.74,113.1
2949.91,113.1
5705.43,113.1
10162.23,113.1
12635.91,113.1
8339.5,113.1
9568.36,113.1
7551.63,113.1
3541.25,113.1
2689.39,113.1
7835.03,113.1
6771.83,113.1
5810.7,113.1
14151.96,113.1
5641.35,113.1
532.81,113.1
3283.76,113.1
7862.01,113.1
7862.2,113.1
7311.95,113.1
303.56,113.1
12486.32,113.1
8428.52,113.1
7481.31,113.1
4777.41,113.09
4735.34,113.09
9784.17,113.09
4398.27,113.09
9964.92,113.09
6617.86,113.09
8229.36,113.09
8953.25,113.09
6500.22,113.09
5025.36,113.09
9017.62,113.09
5413.07,113.09
3461.39,113.09
5792.2,113.09
7702.48,113.09
8387.71,113.09
6855.88,113.09
3406.17,113.09
9081.8,113.09
3238.28,113.09
10713.06,113.09
8181.05,113.09
6580.86,113.09
7403.79,113.09
5910.92,113.09
8156.7,113.09
6796.67,113.09
4650.22,113.09
3241.1,113.09
5470.33,113.09
6794.43,113.09
5865.44,113.09
5316.65,113.09
7571.79,113.09
8320.61,113.09
5107.95,113.09
7028.26,113.09
7339.42,113.09
6454.35,113.09
8106.65,113.09
10913.1,113.09
9273.36,113.09
4609.71,113.09
6761.61,113.09
5328.05,113.09
5160.93,113.09
5576.29,113.09
2353.69,113.09
7091.47,113.09
3862.05,113.09
8518.5,113.09
8401.34,113.09
6226.75,113.09
6015.71,113.09
394.62,113.09
9655.81,113.09
3966.26,113.08
2754.06,113.08
3212.95,113.08
7728.1,113.08
6887.53,113.08
7180.38,113.08
8720.88,113.08
8551.62,113.08
8988.79,113.08
6465.06,113.08
8633.62,113.08
4535.2,113.08
3399.06,113.08
7396.49,113.08
4247.42,113.08
7316.04,113.08
6348.29,113.08
3287.36,113.08
8231.99,113.08
838.23,113.08
5852.68,113.08
6614.55,113.08
5474.71,113.08
8514.71,113.08
11258.93,113.08
5599.86,113.08
6270.87,113.08
3383.68,113.08
8172.58,113.08
8789.34,113.08
3964.8,113.08
7897.84,113.08
8922.28,113.08
8172.68,113.08
8152.91,113.08
5549.99,113.08
6004.8,113.08
3482.82,113.08
3629.58,113.08
7144.83,113.08
5422.61,113.08
5056.43,113.08
8294.8,113.08
8091.45,113.08
7935.05,113.08
10334.9,113.08
5963.02,113.08
4087.99,113.08
8593.69,113.08
5973.25,113.08
9545.37,113.08
10596.68,113.08
5424.56,113.08
7146.68,113.08
3459.93,113.08
4475.11,113.08
4394.48,113.08
8968.93,113.08
7994.26,113.08
6742.52,113.08
4382.59,113.08
4758.71,113.07
4417.17,113.07
8590.28,113.07
3010.09,113.07
6449.77,113.07
7117.95,113.07
7814.38,113.07
3086.35,113.07
6089.24,113.07
8099.05,113.07
5404.59,113.07
4488.85,113.07
8680.66,113.07
5347.82,113.07
4390.78,113.07
6942.17,113.07
9295.86,113.07
11206.05,113.07
4310.14,113.07
4542.99,113.07
7726.15,113.07
2560.84,113.07
9897.82,113.07
5074.35,113.07
6277.29,113.07
1789.32,113.07
4329.23,113.07
4321.63,113.07
7550.85,113.07
7450.34,113.07
5304.67,113.07
3598.42,113.07
6413.25,113.07
5014.06,113.07
4701.74,113.07
9666.43,113.07
7885.77,113.07
4164.15,113.07
9521.41,113.07
9716.58,113.07
17963.66,113.07
10557.34,113.07
8950.52,113.07
9649.67,113.07
4657.91,113.07
7965.53,113.07
5272.73,113.07
4967.03,113.07
8364.24,113.07
4940.92,113.07
8484.51,113.07
3338.29,113.07
6437.4,113.07
8789.93,113.07
6423.67,113.07
9770.53,113.06
7764.42,113.06
7629.44,113.06
6419.48,113.06
5426.8,113.06
7918.59,113.06
4177.2,113.06
7456.48,113.06
8632.94,113.06
4178.37,113.06
5203.0,113.06
10259.62,113.06
8020.26,113.06
4594.03,113.06
7442.84,113.06
3694.15,113.06
1680.93,113.06
6329.49,113.06
6095.66,113.06
5078.83,113.06
4503.84,113.06
9196.72,113.06
6959.6,113.06
8425.21,113.06
8577.42,113.06
2803.14,113.06
1326.24,113.06
4039.49,113.06
6949.57,113.06
10874.14,113.06
3202.44,113.06
2753.96,113.06
9764.5,113.06
6236.39,113.06
8282.24,113.06
5111.65,113.06
7691.28,113.06
3328.17,113.06
6508.79,113.06
8695.85,113.06
5305.26,113.06
8064.57,113.06
9693.89,113.06
5875.08,113.06
7877.49,113.06
7692.65,113.06
11466.66,113.06
4281.7,113.06
6819.95,113.06
8233.15,113.05
4258.23,113.05
7490.56,113.05
8091.16,113.05
8060.97,113.05
2965.68,113.05
11660.56,113.05
5843.04,113.05
5014.36,113.05
10142.46,113.05
2340.25,113.05
4782.08,113.05
2781.52,113.05
9005.16,113.05
5722.08,113.05
5762.79,113.05
5721.69,113.05
6845.27,113.05
6332.71,113.05
8415.76,113.05
8580.44,113.05
2400.63,113.05
11057.04,113.05
12498.01,113.05
3624.13,113.05
7659.05,113.05
2573.11,113.05
9296.74,113.05
8966.88,113.05
3248.5,113.05
5315.29,113.05
5154.5,113.05
5910.53,113.05
10484.98,113.05
5907.61,113.05
8552.39,113.05
3833.91,113.05
6428.25,113.05
4198.34,113.05
8074.22,113.05
8676.57,113.05
6261.71,113.05
7576.85,113.05
4987.28,113.05
8310.97,113.05
7888.5,113.05
7361.82,113.05
8984.7,113.05
3870.62,113.05
5311.39,113.05
6854.32,113.05
8406.8,113.05
9997.16,113.05
8560.67,113.05
7234.14,113.05
3097.26,113.05
6411.69,113.05
3312.29,113.05
7884.5,113.05
7496.7,113.04
8050.06,113.04
9458.5,113.04
10579.64,113.04
7450.15,113.04
11969.57,113.04
10316.79,113.04
8385.18,113.04
11229.03,113.04
5220.14,113.04
7554.65,113.04
8667.9,113.04
8886.15,113.04
7048.03,113.04
7391.13,113.04
11371.61,113.04
3635.62,113.04
9952.16,113.04
2341.81,113.04
5097.82,113.04
10102.83,113.04
2251.63,113.04
8983.54,113.04
10640.41,113.04
4723.26,113.04
3390.79,113.04
8975.55,113.04
11975.81,113.04
7358.8,113.04
4201.55,113.04
9495.61,113.04
7548.8,113.04
616.67,113.04
3485.64,113.04
7710.37,113.04
4627.72,113.04
7750.59,113.04
10505.14,113.04
4179.93,113.04
6132.48,113.04
5528.47,113.04
6610.46,113.04
4163.08,113.04
6188.38,113.04
2899.46,113.04
10514.0,113.04
8298.11,113.04
1260.11,113.04
4643.3,113.04
10953.61,113.04
5456.01,113.04
7559.32,113.04
3490.51,113.04
6540.05,113.04
10017.22,113.04
11503.18,113.04
2904.72,113.04
6138.61,113.04
3388.94,113.04
6031.87,113.03
1523.94,113.03
4979.39,113.03
6391.34,113.03
9218.34,113.03
3959.34,113.03
7336.69,113.03
6542.0,113.03
3954.67,113.03
7763.35,113.03
6046.0,113.03
4415.22,113.03
6550.76,113.03
3791.15,113.03
4923.1,113.03
5536.94,113.03
4175.16,113.03
7892.49,113.03
3150.53,113.03
4359.12,113.03
3152.09,113.03
3171.66,113.03
5527.98,113.03
5786.16,113.03
8653.78,113.03
6803.88,113.03
5181.48,113.03
8321.58,113.03
10362.76,113.03
3319.6,113.03
7385.48,113.03
3083.72,113.03
9339.49,113.03
2948.74,113.03
2314.06,113.03
3976.29,113.03
2088.02,113.03
7432.72,113.03
4516.21,113.03
12363.8,113.03
3778.3,113.03
7727.41,113.03
10572.73,113.03
7105.78,113.03
5164.33,113.03
8590.67,113.03
10006.22,113.03
9991.02,113.03
3555.96,113.03
3511.55,113.03
7916.84,113.03
3904.9,113.03
7003.62,113.03
6523.4,113.03
5324.25,113.03
4622.66,113.03
8487.44,113.03
8210.37,113.03
5285.39,113.03
9963.66,113.03
6458.44,113.03
4819.19,113.03
9225.06,113.02
8248.54,113.02
8335.7,113.02
9270.15,113.02
4925.93,113.02
4611.26,113.02
4699.69,113.02
4229.11,113.02
3798.94,113.02
6840.49,113.02
5505.0,113.02
6042.68,113.02
10352.92,113.02
6131.5,113.02
8345.15,113.02
7580.45,113.02
5157.62,113.02
4919.5,113.02
4568.22,113.02
7729.56,113.02
8251.37,113.02
5120.41,113.02
8223.81,113.02
2693.19,113.02
5797.26,113.02
4143.99,113.02
5803.11,113.02
6575.01,113.02
7225.37,113.02
4322.41,113.02
4924.56,113.02
5946.56,113.02
9958.49,113.02
10008.65,113.02
6369.72,113.02
9750.28,113.02
10289.52,113.02
7404.96,113.02
9340.37,113.02
6758.3,113.02
6178.64,113.02
5112.04,113.02
6557.19,113.02
3909.48,113.02
6661.01,113.02
8573.82,113.02
71.48,113.02
6699.96,113.02
5630.83,113.02
3892.83,113.02
4704.76,113.02
7328.02,113.02
10594.54,113.02
7720.3,113.01
5726.07,113.01
6492.23,113.01
4883.95,113.01
7576.95,113.01
7906.71,113.01
9805.59,113.01
3211.98,113.01
4047.19,113.01
10356.13,113.01
7343.51,113.01
5455.43,113.01
5648.55,113.01
9137.9,113.01
10085.78,113.01
3586.64,113.01
7909.24,113.01
3579.04,113.01
6639.78,113.01
12199.9,113.01
9025.61,113.01
8437.48,113.01
3311.42,113.01
10084.42,113.01
8557.85,113.01
9025.51,113.01
10901.8,113.01
2090.74,113.01
6288.01,113.01
6959.31,113.01
3429.45,113.01
6276.9,113.01
3966.74,113.01
3880.65,113.01
6711.06,113.01
4517.19,113.01
6668.8,113.01
7236.57,113.01
3907.92,113.01
6802.42,113.01
5501.69,113.01
1367.24,113.01
9998.91,113.01
5079.12,113.01
4852.79,113.01
8014.32,113.01
8992.11,113.01
5735.42,113.01
10213.75,113.01
6135.79,113.01
9368.03,113.01
5894.36,113.01
3264.67,113.01
8295.58,113.01
9056.58,113.01
4491.09,113.01
8221.76,113.01
7836.59,113.01
6743.79,113.01
9965.99,113.01
3185.59,113.01
8390.83,113.01
9004.18,113.01
8678.71,113.01
7402.72,113.01
3551.28,113.01
7210.96,113.01
9860.03,113.01
5457.09,113.01
6670.45,113.0
8059.7,113.0
4357.08,113.0
8518.7,113.0
4965.27,113.0
10803.05,113.0
4434.21,113.0
8553.86,113.0
5192.77,113.0
6660.32,113.0
6455.61,113.0
5551.55,113.0
7855.38,113.0
10378.53,113.0
10572.14,113.0
9246.1,113.0
5681.47,113.0
4995.56,113.0
2524.61,113.0
8074.02,113.0
8898.32,113.0
3707.2,113.0
8490.85,113.0
11375.5,113.0
3422.63,113.0
4429.34,113.0
2978.93,113.0
54.83,113.0
11069.8,113.0
8650.37,113.0
2148.01,113.0
4622.85,113.0
391.21,113.0
10118.5,113.0
9040.9,113.0
8936.4,113.0
6555.24,113.0
3523.33,113.0
6258.3,113.0
3906.27,113.0
12642.53,113.0
5121.39,113.0
5927.96,113.0
7466.9,113.0
3287.17,113.0
10138.27,113.0
5838.07,113.0
9338.81,113.0
5272.92,113.0
6639.09,113.0
8100.02,112.99
9267.23,112.99
9877.56,112.99
711.23,112.99
7540.62,112.99
7647.07,112.99
8329.37,112.99
10027.35,112.99
5812.94,112.99
7818.47,112.99
9319.62,112.99
3566.09,112.99
9042.26,112.99
5558.08,112.99
4532.09,112.99
9710.35,112.99
10428.3,112.99
4383.67,112.99
9289.43,112.99
9922.27,112.99
11082.65,112.99
8427.15,112.99
7079.29,112.99
2773.15,112.99
5422.12,112.99
9325.86,112.99
8243.48,112.99
6172.31,112.99
11690.85,112.99
3419.71,112.99
3787.94,112.99
6215.36,112.99
4704.95,112.99
3454.67,112.99
4439.96,112.99
7301.24,112.99
8963.77,112.99
4558.77,112.99
3825.63,112.99
3625.59,112.99
3586.15,112.99
5426.99,112.99
6231.62,112.99
7855.68,112.99
9537.39,112.99
3955.16,112.99
9279.21,112.99
10233.03,112.98
7526.7,112.98
3812.87,112.98
8749.02,112.98
5587.68,112.98
6931.46,112.98
3907.63,112.98
5588.76,112.98
7192.65,112.98
9057.65,112.98
7878.37,112.98
4109.71,112.98
8399.98,112.98
5942.76,112.98
6401.37,112.98
7161.29,112.98
12145.46,112.98
8454.52,112.98
5399.53,112.98
9008.95,112.98
12420.0,112.98
2857.68,112.98
6860.95,112.98
5453.68,112.98
12814.42,112.98
7710.57,112.98
7312.64,112.98
5060.42,112.98
7295.2,112.98
4443.07,112.98
9452.56,112.98
8840.37,112.98
8309.41,112.98
7709.3,112.98
8750.87,112.98
2051.01,112.98
5010.27,112.98
4279.07,112.98
5780.71,112.98
2521.3,112.98
8386.64,112.98
8138.49,112.98
5994.87,112.98
6529.63,112.98
3585.95,112.98
6027.1,112.98
7636.16,112.98
5759.09,112.98
4571.72,112.98
9925.87,112.98
7565.36,112.98
7496.89,112.98
8669.75,112.98
4582.83,112.98
3554.5,112.98
7742.22,112.98
6063.23,112.98
3500.84,112.98
6769.3,112.98
8230.04,112.98
10323.31,112.98
3589.27,112.97
6022.91,112.97
6086.41,112.97
10333.05,112.97
6085.24,112.97
4721.8,112.97
8357.13,112.97
10335.78,112.97
4550.79,112.97
7290.14,112.97
7507.61,112.97
6958.33,112.97
3621.7,112.97
4933.91,112.97
5303.6,112.97
3270.9,112.97
10292.44,112.97
4228.72,112.97
7514.52,112.97
5226.47,112.97
1429.57,112.97
4231.16,112.97
8641.8,112.97
9348.16,112.97
5455.14,112.97
8420.73,112.97
9143.45,112.97
10271.02,112.97
10038.94,112.97
7200.15,112.97
7517.35,112.97
4508.91,112.97
6748.07,112.97
5554.28,112.97
6574.82,112.97
9610.04,112.97
7635.38,112.97
11909.49,112.97
8993.66,112.97
5316.36,112.97
8656.41,112.97
7541.01,112.97
6739.01,112.97
5800.77,112.97
3391.76,112.97
5464.78,112.97
4625.19,112.97
10353.7,112.97
4143.12,112.97
9307.45,112.97
4701.15,112.96
2123.95,112.96
8483.35,112.96
3016.91,112.96
7327.54,112.96
8601.67,112.96
5698.12,112.96
3196.59,112.96
6969.92,112.96
10071.08,112.96
9282.91,112.96
6821.21,112.96
9883.12,112.96
4096.37,112.96
9182.01,112.96
11832.06,112.96
6519.79,112.96
8813.1,112.96
6462.43,112.96
9517.62,112.96
4108.83,112.96
3912.89,112.96
1600.88,112.96
10283.58,112.96
5372.55,112.96
6634.03,112.96
4532.77,112.96
7680.67,112.96
6189.55,112.96
10000.96,112.96
2652.29,112.96
12397.11,112.96
4116.82,112.96
7551.43,112.96
2368.89,112.96
8424.13,112.96
6735.41,112.96
4632.3,112.96
5278.86,112.96
4266.6,112.96
2300.52,112.96
3717.04,112.96
9068.75,112.96
9377.38,112.96
5579.7,112.96
9074.89,112.96
12.56,112.96
4751.7,112.96
2823.11,112.96
8281.65,112.96
4070.66,112.96
3416.4,112.96
4071.15,112.96
6083.88,112.96
7476.83,112.96
4303.61,112.96
4100.46,112.95
10917.87,112.95
10578.18,112.95
6527.97,112.95
7680.08,112.95
1693.01,112.95
9555.21,112.95
7060.89,112.95
5789.77,112.95
11533.17,112.95
7811.85,112.95
4291.24,112.95
10838.7,112.95
7541.4,112.95
9325.27,112.95
7964.56,112.95
9176.37,112.95
10657.55,112.95
3260.38,112.95
7671.22,112.95
7786.82,112.95
4345.98,112.95
9966.87,112.95
7692.16,112.95
7017.84,112.95
3221.72,112.95
8292.37,112.95
6049.99,112.95
6077.26,112.95
8371.93,112.95
7010.73,112.95
3818.71,112.95
7162.85,112.95
8624.85,112.95
3937.04,112.95
3718.79,112.95
10124.25,112.95
5243.71,112.95
4020.5,112.95
8588.43,112.95
7557.08,112.95
10601.75,112.95
12597.05,112.95
6295.41,112.95
4638.34,112.95
11369.37,112.95
7371.85,112.95
5889.01,112.95
9938.92,112.95
3406.08,112.95
8634.69,112.95
5735.03,112.95
8361.61,112.95
9340.17,112.95
8599.24,112.95
4275.08,112.95
399.49,112.95
9040.99,112.95
7380.81,112.94
3890.78,112.94
3259.8,112.94
5863.88,112.94
7353.54,112.94
9305.7,112.94
6194.51,112.94
3550.99,112.94
10155.22,112.94
7950.43,112.94
397.05,112.94
9522.58,112.94
6264.05,112.94
8431.63,112.94
6084.56,112.94
3176.24,112.94
4755.98,112.94
9359.75,112.94
10235.96,112.94
3373.35,112.94
6841.66,112.94
7120.68,112.94
6208.64,112.94
6593.81,112.94
4949.01,112.94
3017.98,112.94
9744.14,112.94
6417.83,112.94
11091.42,112.94
8976.13,112.94
6947.13,112.94
10622.1,112.94
6518.43,112.94
2273.25,112.94
8555.61,112.94
10020.34,112.94
4661.03,112.94
4736.7,112.94
8299.48,112.94
7462.03,112.94
2934.33,112.94
7481.22,112.94
7720.4,112.94
6232.01,112.94
7347.99,112.94
5814.89,112.94
5127.72,112.94
6281.77,112.94
5929.52,112.94
6238.73,112.94
6368.35,112.94
8422.28,112.94
9302.39,112.94
9098.55,112.94
6341.47,112.94
12633.08,112.94
5020.59,112.94
9976.32,112.94
7548.22,112.94
4815.1,112.94
9660.0,112.94
9297.81,112.94
3873.25,112.94
3308.98,112.94
7372.63,112.94
8511.0,112.94
5839.34,112.94
11023.05,112.94
5309.54,112.94
5867.58,112.93
12642.04,112.93
8183.29,112.93
6592.93,112.93
8328.98,112.93
9500.67,112.93
8338.92,112.93
7472.45,112.93
8884.0,112.93
5418.13,112.93
3799.14,112.93
3307.91,112.93
3780.63,112.93
3733.99,112.93
10118.21,112.93
9629.9,112.93
3469.18,112.93
3446.3,112.93
6198.6,112.93
4855.03,112.93
10646.16,112.93
5036.37,112.93
3467.14,112.93
7894.05,112.93
4700.08,112.93
5896.02,112.93
6442.66,112.93
6102.87,112.93
7119.81,112.93
6553.49,112.93
8295.09,112.93
9221.16,112.93
6613.29,112.93
7758.97,112.93
11167.87,112.93
5083.6,112.93
4168.34,112.93
3926.52,112.93
7826.17,112.93
4816.56,112.93
7601.3,112.93
5472.77,112.93
10210.83,112.93
7726.05,112.93
12414.54,112.93
5933.12,112.93
9330.82,112.93
9947.49,112.93
7086.5,112.93
4959.04,112.93
9251.35,112.93
1694.08,112.93
2806.65,112.93
5566.55,112.93
5921.92,112.93
6703.66,112.93
1905.32,112.93
11098.92,112.93
7010.34,112.93
4586.82,112.93
4085.56,112.93
10050.92,112.93
9765.37,112.93
2745.78,112.93
7097.31,112.93
4845.19,112.93
9196.43,112.93
9501.06,112.92
6571.9,112.92
5840.9,112.92
7370.09,112.92
8449.75,112.92
3582.45,112.92
6311.19,112.92
5473.74,112.92
8994.64,112.92
4341.5,112.92
7943.33,112.92
9768.78,112.92
11504.15,112.92
4786.56,112.92
5400.11,112.92
8064.09,112.92
8174.04,112.92
10430.44,112.92
6810.6,112.92
3331.18,112.92
4376.65,112.92
5792.59,112.92
8736.46,112.92
7859.28,112.92
6169.19,112.92
7550.75,112.92
11945.71,112.92
5837.39,112.92
8426.57,112.92
10830.9,112.92
1617.73,112.92
7389.96,112.92
4709.04,112.92
7831.82,112.92
4579.81,112.92
3190.75,112.92
1376.98,112.92
9986.84,112.92
9413.9,112.92
6761.41,112.92
5749.06,112.92
6488.53,112.92
8430.17,112.92
6631.98,112.92
3474.15,112.92
10316.69,112.92
5270.2,112.92
1500.96,112.92
4933.33,112.92
5602.1,112.92
9512.65,112.92
7737.25,112.91
9166.92,112.91
